id,namaSdg,keteranganSdg
1,Tiada Kemiskinan,Menamatkan kemiskinan dalam semua bentuk di mana-mana.
2,Kelaparan Sifar,Menamatkan kelaparan, mencapai jaminan makanan dan nutrisi yang lebih baik serta menggalakkan pertanian mampan.
3,Kesihatan yang Baik dan Kesejahteraan,Menjamin pendidikan menyeluruh dan ekuiti serta menggalakkan peluang pembelajaran sepanjang hayat kepada semua.
4,Kualiti Pendididkan,Menjamin pendidikan menyeluruh dan ekuiti serta menggalakkan peluang pembelajaran sepanjang hayat kepada semua.
5,Kesaksamaan Gender,Mencapai kesamarataan gender dan menguatkan semua orang wanita.
6,Air Bersih dan Sanitasi,Memastikan kecapaian dan pengurusan mampan air dan sanitasi kepada semua.
7,Tenaga Mampu Milik dan Bersih,Menjamin capaian kepada tenaga berpatutan, dipercayai, mampan dan moden kepada semua.
8,Pekerjaan Yang Sesuai dan Pertumbuhan  Ekonomi,Mempromosikan perkembangan ekonomi mampan dan menyeluruh, pekerjaan penuh dan produktif, dan pekerjaan layak kepada semua.
9,Industri, Inovasi dan Infrastruktur,Membina infrastruktur kukuh, mempromosikan industri yang menyeluruh dan mampan dan merangsang inovasi.
10,Mengurangkan Ketidaksamaan,Mengurangkan ketidaksamaan pendapatan dalam dan sesama negara.
11,Bandar dan Komuniti yang Mampan,Menjadikan bandar dan petempatan manusia menyeluruh, selamat, kukuh dan mampan.
12,Penggunaan dan Pengeluaran Bertanggungjawab,Memastikan corak penggunaan dan pengeluaran mampan.
13,Tindakan Iklim,Mengambil tindakan segera untuk menangani perubahan iklim serta kesannya dengan mengawal pengeluaran gas rumah hijau dan menggalakkan pembangunan tenaga boleh diperbaharui.
14,Kehidupan di bawah Air,Memulihara dan menggunakan lautan, laut dan sumber marin dengan mampan demi pembangunan mampan.
15,Kehidupan di Darat,Memelihara, memulihara dan menggalakkan penggunaan mampan ekosistem darat, menguruskan hutan secara mampan, mengekang penebangan hutan, menghentikan dan mengundurkan degradasi tanah, dan menghentikan kehilangan biokepelbagaian.
16,Keamanan, Keadilan dan Institusi yang Teguh,Mempromosikan masyarakat aman dan menyeluruh demi pembangunan mampan, memberikan capaian keadilan kepada semua, dan membina institusi yang berkesan, dipercayai dan menyeluruh pada semua tahap.
17,Kerjasama demi Matlamat,Menguatkan cara pengamalan dan menggiatkan kerjasama antarabangsa demi pembangunan mampan.
